Job Title,Location,Link,Job Responsibilities,Profile,Additional Information,Contract Type,Minimum Experience
Store Operations Coordinator (m/f/d)- MünchenRimowaReference: RIM01219,NEWPublished on 10.02.2024,https://www.lvmh.com/join-us/our-job-offers/RIM01219,"Job responsibilities
One crew, one DNA, one purpose - welcome to RIMOWA, the first German Maison of the LVMH. For more than 120 years, the German Maison has been creating thoughtful mobility tools for discerning travellers around the globe. As the first German Maison in the LVMH Group, RIMOWA is dedicated to developing unique products that perfectly balance luxury and functionality whilst highlighting the brand’s century-old heritage, craftsmanship and its commitment to innovation.
At RIMOWA, we believe that great ambitions demand resilient companions. Our tools are created with longevity in mind, because the most meaningful journeys last a lifetime. Join us to begin yours.
 

YOUR MISSION:

Support of the Store Manager in all administrative activities and daily store operations, e. g. opening, closing, deliveries & stock, repairs, back office operations and communication.
Provide an outstanding and unforgettable client experience. Whether they are long-time RIMOWA brand ambassadors or are discovering our products for the first time, ensuring that our clients embark on their own personal RIMOWA journey is our top priority.
Assist with special requests, which include but are not limited to repairs, special orders, returns, etc.
Build long-term relationships with our clientele by leveraging our tools to foster brand loyalty and offering an impecable client care / after sales service.
Coordinate our POS tool, manage the client database and support all admin-related topics with HQ.
Perform as a team-player, participate in all activities contributing to the overall objectives of the store.","ProfileYour experience and skills 

Passionate about storytelling, lifestyle, luxury and travel.
First experience with operations & administration.
Be structured have a great sense for details.
Enthusiastic about retail and delivering memorable experiences for our clientele.
Proactive in how you approach clientele, build long-term relationships and approach each situation with a collaborative spirit.
Experienced in the sector.
Fluent in German and English. Additional languages are a plus.","Additional informationOur offer 

Competitive and attractive compensation with additional profit-sharing system
30 paid vacation days per year
Subsidized JobTicket (“DeutschlandTicket”)
Staff discount on our range of RIMOWA products as well as regular LVMH Family & Friend offers
Your own RIMOWA Essential Ambassador suitcase (after 6 months on a permanent contract)
Corporate benefits (e.g., for sports, lifestyle, fashion, etc.)
Company pension plan with high employer contribution
Employer-financed pension commitment in the event of death or disability
An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund
Central location, easily accessible by private and public transportation and access to job bikes

 
Your future 
At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. Whether you want to develop yourself technically or creatively or use your leadership talent later as (Assistant) Store Manager (m/f/d) - RIMOWA is the home for all your ambitions and visions for the future.
What are you waiting for? Apply today and soon become part of our unique crew. It's quick, easy and uncomplicated - just tell us your salary requirements and earliest possible start date.","Munich, Germany",Permanent Job
Praktikant (m/w/d) Product ManagementLVMH Fragrance BrandsReference: LVMHFB02057,NEWPublished on 10.02.2024,https://www.lvmh.com/join-us/our-job-offers/LVMHFB02057,Not Available,Not Available,Not Available,"Dusseldorf, Germany",Internship
Stockist (m/f/d) - HamburgRimowaReference: RIM01175,NEWPublished on 10.01.2024,https://www.lvmh.com/join-us/our-job-offers/RIM01175,"Job responsibilitiesDeine Mission

Du stellst sicher, dass das RIMOWA Lager im Store organisiert, zugänglich und immer auf dem neuesten Stand ist.
Du unterstützt den Store Manager und das Team (m/w/d) bei der effizienten Organisation des Stores.
Bei Bedarf organisierst du die Warenversendung an Kunden und/oder die Zentrale.
Du nimmst Lieferungen an, prüfst sie, zeichnest sie aus und verräumst die Ware im Lager.
Du bist verantwortlich für den Cycle Count/ Inventur und die Pflege des Warenwirtschaftssystems und bist hier in Abstimmung mit der Zentrale.
Abweichungskontrolle und -aufklärung gehören zu deiner Verantwortlichkeit.
Bei Bedarf unterstützt du im Verkauf.","ProfileDeine Erfahrung

Wir freuen uns über deine Experience im Luxussektor, heißen dich aber auch als Quereinsteiger/-in bei uns im Team willkommen. 
Du bist organisiert, strukturiert und teamfähig.  
Du hast Interesse an hochwertigen Produkten die Tradition und Handwerkskunst mit Innovation und funktionalem Design vereinen.  
Du hast Erfahrung im Einzelhandel oder Spaß daran, unseren Kund:innen ein ultimatives Luxuserlebnis zu bieten. 
Du verfügst über fließende Deutschkenntnisse, Englisch ist von Vorteil.  

 
Unser Angebot

Mitarbeiterrabatt auf unsere RIMOWA Produktpalette sowie regelmäßige LVMH Family & Friend Angebote 
Eigener RIMOWA Essential Ambassador-Koffer (nach 6 Monaten Festanstellung) 
Betriebliche Leistungen (z.B. für Sport, Lifestyle, Mode, etc.) 
Betriebliche Altersvorsorge mit hohem Arbeitgeberanteil 
Arbeitgeberfinanzierte Pensionszusage im Falle von Tod oder Invalidität 
Ein internationales und spannendes Umfeld innerhalb der LVHM-Gruppe 
Spannende Projekte und individuelle Entwicklungsmöglichkeiten 
Persönliche Unterstützung im Familienalltag durch Voiio-Familienservice 
Finanzielle und psychologische Unterstützung durch den LVMH Heart Fund 
Zentrale Lage, gute Erreichbarkeit mit privaten und öffentlichen Verkehrsmitteln und 
Zugang zu Jobbikes","Additional information 
Bei RIMOWA und der LVMH-Gruppe stehen wir nie auf der Stelle. Die vielfältigen Positionen, die zu unserem gemeinsamen Erfolg beitragen, eröffnen unterschiedlichste Entwicklungsmöglichkeiten. Ob du dich eher technisch bzw. kreativ entwickeln möchtest – RIMOWA ist das Zuhause für all deine Ambitionen und Zukunftsvisionen. 
 
Worauf wartest du noch? Bewirb dich noch heute und werte schon bald Teil unserer einzigartigen Crew. Schnell, einfach und unkompliziert unter Angabe deiner Gehaltsvorstellung und frühestmöglichen Starttermins.","Hamburg, Germany",Permanent Job
"Client Advisor, Flagship Maximilianstrasse LoeweLoeweReference: LOEW01660",NEWPublished on 10.01.2024,https://www.lvmh.com/join-us/our-job-offers/LOEW01660,"Job responsibilitiesBeing part of LOEWE gives you the opportunity of learning new things every day and working with people passionate about what they do, in a fast moving and ambitious company.
 
As Client Advisor, you will ensure that our client service expectations are exceeded in a personable, playful, and engaging way, enabling you to deliver your individual and team goals.
 
Your role will be:

Achieve individual and store objectives.
Connect with clients in an engaging emotional way to provide an exceptional and memorable client experience.
Engage with all clients and develop long lasting relationships.
Maintain relations with clients through regular communication and connection via email, phone, messages, or personalized notes.
Master and transmit our brand history and heritage.
Highlight our product categories through your product knowledge and storytelling.
Develop and grow your client book, updating client information on the relevant company tools.
Perform as a team player, participating and collaborating in all activities contributing to the overall objectives of the store.
Actively participate in visual merchandising in accordance with LOEWE’s visual standards.
Maintain products in an efficient, clean, secure, and organized manner; front and back of house.
Support with inventory management and ad hoc back of house tasks.
Follow the company’s policies and procedures including LOEWE’s standards in terms of grooming and behavior.","ProfileWhat is important for the role:

Proven experience in achieving individual goals and contributing to team results.
Experience within a similar customer centric role.
A deep interest in Fashion, Art, and Culture.
Be naturally inclusive and open minded.
Confident, service orientated, adaptable and empathetic in style and approach.
Effective communication skills with the sensitivities to build and maintain a client portfolio.
Results driven with a commercial mindset without compromising on the Team Player attitude.
Fluent in English and German.","Additional informationAbout LOEWE
Created in Spain in 1846, LOEWE celebrates over 175 years as one of the world’s major luxury houses. Since 2013, under LOEWE’s creative director, Jonathan Anderson, the brand has started a new chapter, presenting itself to the world as a house focused on craft and culture; evidenced through an intellectual yet playful approach to fashion, bold and vibrant Spanish lifestyle, and unmatched expertise with leather.
LOEWE has a rich legacy of craftsmanship dating back to its beginnings as a collective workshop and has long valued artisanal techniques in its approach to design and manufacture. These core values are reflected in the brand’s belief in the importance of craft in today’s culture, its modern interpretations of historical artistic achievements and its commitment to supporting contemporary art, craft, and culture around the world.","Munich, Germany",Permanent Job
Ausbildung zum Uhrmacher (m/w/d) bei Hublot 2025HublotReference: HUBL00794,NEWPublished on 10.01.2024,https://www.lvmh.com/join-us/our-job-offers/HUBL00794,Not Available,"ProfileWAS DICH AUSZEICHNET

Du hast erfolgreich die Mittlere Reife oder einen höheren Abschluss erlangt
Dein technisches Verständnis, handwerkliches Geschick und Deine hohe Konzentrationsfähigkeit zeichnen Dich aus
Deine Leidenschaft für sorgfältige und genaue Arbeitsweisen ermöglichen Dir das Auge für Details
Du bringst Interesse an mechanischen Uhren sowie Begeisterung für gewissenhafte Arbeit mit

 
WAS WIR BIETEN

Eine moderne Werkstattausstattung und 30 Urlaubstage pro Kalenderjahr
Eine attraktive und wettbewerbsorientierte Ausbildungsvergütung sowie eine monatliche Verpflegungsbezuschussung
Übernahme der Unterkunfts- und Reisekosten während der Berufsschuleinsätze in Würzburg
100% Kostenübernahme des Deutschland-Tickets
Jährliche Mitarbeitergespräche, individuelle Personalentwicklung sowie Möglichkeiten zur Weiterentwicklung innerhalb des Konzerns
Eine offene und familiäre Arbeitsatmosphäre mit Duz-Kultur sowie regelmäßige Mitarbeiterevents

 
KONTAKT
Tickst Du wie wir? Dann freuen wir uns auf Deine Bewerbung inklusive Lebenslauf, Motivationsschreiben und Abschluss- oder Zwischenzeugnisse.
Wir wünschen Dir viel Erfolg!
 
Personalabteilung:Naida FehricHR Business Partner Central EuropeLVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, 61440 Oberursel",Not Available,"Oberursel, Germany",Temporary Job
DIGITAL MANAGER (M/W/D) DIGITAL MEDIA/ E-COMMERCE/ CRMGuerlainReference: GUER03960,NEWPublished on 10.01.2024,https://www.lvmh.com/join-us/our-job-offers/GUER03960,"Job responsibilitiesGUERLAIN kreiert seit 1828 außergewöhnliche Kosmetikprodukte. Dieses einzigartige Erbe und Know-how gilt es, an zukünftige Generationen weiterzugeben. GUERLAIN vereint Tradition mit Mut und Innovationskraft zu einzigartigen Kreationen. Unsere Teams, ""Explorers by nature"", verbinden Tag für Tag Luxus und nachhaltige Entwicklung.
Werden auch Sie eine/r unserer Explorers by nature als…
 
Digital Manager (m/w/d)
(DIGITAL MEDIA/ E-Commerce/ CRM)
ab Juni am Standort Düsseldorf in Vollzeit
 
WAS WIR BIETEN

Eine offene und familiäre Arbeitsatmosphäre mit Du-Kultur und flachen Hierarchien
Herzliche Teams, die für ihre Marke brennen und Ideen mit Eigeninitiative vorantreiben
Weiterentwicklungsmöglichkeiten innerhalb der LVMH Gruppe entlang des individuellen Karrierewegs
Viele Mitarbeiter Benefits: flexible Arbeitszeiten & mobiles Arbeiten, Gesundheitsangebote, Mitarbeiterrabatte & -events etc.

 
WAS DICH ERWARTET
E-Commerce 

Definition und Umsetzung einer Vision und Wachstumsstrategie für unseren eigenen Online-Shop unter Berücksichtigung von internationalen Brand Guidelines und lokalen Strategien
Regelmäßige Analyse aller eCom Aktivierungen und KPIs und darauf basierend Ableitung von konkreten Handlungen & Strategien
Pflege und Optimierung des Online-Shops auf Basis von Potentialanalysen

Media

Planung, Durchführung & Optimierung von digitalen Launch Kampagnen abgestimmt auf die gesamte Marketingstrategie
Definition und Umsetzung der Media Strategie zur Aktivierung des Online-Shops
Monitoring und Optimierung der SEA-Kampagne

CRM

Planung und Umsetzung eines CRM-Aktivierungsplans für eine individuelle Ansprache der Guerlain VICs
Verantwortlichkeit für alle Datensammelmaßnahmen und CRM Tools Online und am POS

Sowie

Disziplinarische und fachliche Führung des Junior Digital Marketing Managers

 
WAS DICH AUSZEICHNET

Überdurchschnittlich abgeschlossenes Studium (idealerweise mit dem Schwerpunkt Marketing)
3 Jahre Berufserfahrung im Bereich Digital Marketing mit Schwerpunkt E-Commerce & Media
Fundierte Kenntnisse im Bereich SEA
Sicherer Umgang mit GA4
Verhandlungssicheres Deutsch und Englisch
Leidenschaft für die digitale Welt mit technischem Verständnis
Zielorientierte Denkweise mit strukturierter und analytischer Arbeitsweise sowie ein Gespür für Trends, Innovationen und Konsumentenverhalten
Ambitionierte, kommunikative und offene Persönlichkeit mit einer starken Hands-On-Mentalität
Fähigkeit, andere zu begeistern, und Flexibilität im Umgang mit unterschiedlichen Schnittstellen

 
BEE GUERLAIN and Join us!
Wir freuen uns auf Ihre Bewerbung (Lebenslauf, Anschreiben, Zeugnisse) inkl. Gehaltsvorstellung und Verfügbarkeit über unser Onlineportal
Ansprechpartnerin: Johanna Draxl",Not Available,Not Available,"Dusseldorf, Germany",Permanent Job
Internship Human Resources (m/w/d) mit Schwerpunkt Recruiting ab Januar 2025Louis VuittonReference: LVM25836,NEWPublished on 09.30.2024,https://www.lvmh.com/join-us/our-job-offers/LVM25836,"Job responsibilitiesIn unserem Headoffice in München besetzen wir ab Januar 2025 folgende Position
INTERN (PRAKTIKANT*IN) HUMAN RESOURCES (M/W/D) MIT SCHWERPUNKT RECRUITING
Ihre Aufgaben

Unterstützung im gesamten Bewerbermanagement (Screening, Kommunikation mit Bewerbern und externen Partnern)
Erstellungen von Stellenanzeigen und Schaltung über verschiedene Kanäle
Selbständige Koordination von Telefon-, Digital-, und Face-to-Face Interviews
Mitwirkung an der Verbesserung der Candidate Experience sowie Prozessoptimierung
Konzeptionelle Unterstützung bei abwechslungsreichen HR-Projekten","ProfileIhre Qualifikationen

Erste praktische Erfahrung im HR-Umfeld, vorzugsweise im Recruitment
Zuverlässig, sorgfältige und strukturierte Arbeitsweise
Vertrauenswürdigkeit und Verschwiegenheit
Ausgezeichnete Deutsch- und Englischkenntnisse in Wort und Schrift, Französisch von Vorteil","Additional informationWir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben. Wenn Sie sich in dieser Beschreibung erkennen, freuen wir uns auf Ihre Onlinebewerbung unter jobs.louisvuitton.com. Bitte beachten Sie, dass wir ausschließlich Onlinebewerbungen berücksichtigen können und postalisch zugesandte Bewerbungsunterlagen von uns nicht zurückgesandt werden.","Munich, Germany",Praktikum
Make up Artist (m/w/x) MünchenSephoraReference: 256293,Published on 09.27.2024,https://www.lvmh.com/join-us/our-job-offers/256293,Not Available,"Profile.Für unseren Corner in München suchen wir in Voll- und Teilzeit: Make Up Artist (m/w/x)   Wir suchen dich als Make Up Artist mit … … einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beautyprodukten und einem ausgeprägten Teamgeist.  Dich erwarten … ... eine attraktive Vergütung ... eine überdurchschnittliche Anzahl an Urlaubstagen ... Personalrabatte & Fitnessangebot ... eine betriebliche Altersvorsorge ... Weiterbildung & Flächentrainings ... positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst und ihre Hautpflegeroutinen revolutionierst.… den Erfolg des Corners zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Corner sauber und ordentlich hältst.... dein Experten-Wissen im Bereich Make Up zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… deinen Teamgeist auszuleben. Trage zu den Verkaufszielen deines Corners bei und teile dein Wissen mit deinen Kollegen und Kolleginnen.  Wir freuen uns auf dich, wenn du ... … eine abgeschlossene Ausbildung im Bereich Beauty, Kosmetik, Make Up (Ausbildungsdauer: min. 6 Monate) mitbringst.… min. 3 Jahre Berufserfahrung im Bereich Beauty oder Make Up Artistry im Einzelhandel hast.… eine ausgezeichnete Kommunikationsfähigkeit gegenüber unseren Kunden und Kundinnen sowie gute Kenntnisse über Beauty-Produkte & Trends mitbringst.… in der Vergangenheit gute Englisch-Kenntnisse gewinnen konntest.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.  Hast du Interesse?Bewirb Dich jetzt als „Make Up Artist München“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de.",Not Available,"München, Germany",Temporary Job
Senior Client Advisor (m/f/d) - HamburgRimowaReference: RIM01212,Published on 09.27.2024,https://www.lvmh.com/join-us/our-job-offers/RIM01212,"Job responsibilitiesYour mission 

Outgoing, customer-focused, and an intuitive sense for Luxury: as the newest RIMOWA member, you'll strengthen our customer relationships and continue to build them through first-class consultations.
With individual CRM goals, extensive product and repair training, you shine in all customer interactions and you are a role model for the team - from consultation to sales to small repairs on site.
The connection to our customers doesn't end when they leave the store - as an after-sales professional, you'll continue to be a professional point of contact for all after sales topics.
A travel companion for life - our iconic products are manufactured to the highest quality standards, a demand we also place on our repairs. You will be responsible for first-class processing, from acceptance through communication with the responsible technical team to return to our customers.","ProfileYour experience and skills 

We are looking forward to your experience in the luxury sector, 4-5 years minimum.
For advising our international customers, you speak fluent German and English, ideally you have additional language skills.
the customer experience is important to you - you are passionate about consulting.

 
Our offer 

Subsidized JobTicket (“DeutschlandTicket”)
Staff discount on our range of RIMOWA products as well as regular LVMH Family & Friend offers
Corporate benefits (e.g., for sports, lifestyle, fashion, etc.)
Employer-financed pension commitment in the event of death or disability
An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund
Central location, easily accessible by private and public transportation and access to job bikes

At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. Whether you want to develop yourself technically or creatively or use your leadership talent later as (Assistant) Store Manager (m/f/d) - RIMOWA is the home for all your ambitions and visions for the future.
 
What are you waiting for? Apply today and soon become part of our unique crew. It's quick, easy and uncomplicated - just tell us your salary requirements and earliest possible start date.","Additional informationCelebrating our inclusive and diverse culture is core to RIMOWA’s DNA. We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base. We view diversity as one of the key enablers that helps our business to grow.","Hamburg, Germany",Permanent Job
Manager in Training (m/w/d)Louis VuittonReference: LVM25819,Published on 09.27.2024,https://www.lvmh.com/join-us/our-job-offers/LVM25819,"Job responsibilitiesYou love Retail and people, and you are looking to launch or pursue your career within a luxury environment as Manager in one of our German stores? As part of Louis Vuitton’s Manager in Training (MIT) Program, you will embark upon a dynamic and in-depth journey of discovery through 4 rotations in different locations:
Client advisor Journey, Retail Excellence Journey, Headquarters Immersion and Management Journey.
 
Client advisor Journey - approx. 3 months
• Welcome every Client and provide the best Client Experience
• Advise Clients across the Brand and all product categories
• Act as a role model demonstrating sales leadership
 
• Ensure business opportunities through efficient sales floor management
 
Retail Excellence Journey - approx. 3 months
• Engage with Clients long-term relationships, leveraging clienteling tools
• Assist Management in daily clienteling operations
• Understand company’s policies and provide support to other Client Advisors when needed
 
Headquarters Immersion (3 to 6 months) and Management Journey (approx. 6 months) • Be engaged in an Head Office project according to organization and business needs
• Manage and motivate the team setting individual and team goals
• Identify, recruit and develop talents in collaboration with the Store Manager
• Proactively assess and manage performance and expectations","ProfileAre you willing to build your future as a Manager? Hereunder the skills required to apply to the program:
 
 
• University degree
• Open to local and international relocation (mandatory)
• Proficient in German and English
• Experience in Retail, Hospitality, Customer Services or Airlines
• Strong communication and listening skills
• Proven leadership style
• Training and coaching attitude
• Passionate about retail, customer-centric mindset and inspired to create extraordinary moments for customers","Additional informationIf our Manager in Training program has sparked your interest, we look forward to receiving your application.","Dusseldorf, Germany",Befristeter Arbeitsvertrag
Client Advisor | MunichLoro PianaReference: LORP02723,Published on 09.27.2024,https://www.lvmh.com/join-us/our-job-offers/LORP02723,"Job responsibilities
Is polyvalent, constantly operating to serve the store, with the aim of achieving the highest customer satisfaction.
Is aligned to the style and to the Brand qualitative standards during the whole sales process and after-sales
Cooperates with colleagues in order to create a positive environment and pays attention to performance level
Receives and displays the products according to procedures
Constantly maintains a tidy working place according to the Company guidelines

 
Sales

Is responsible for the sales process following the Company standards
Provides and maintains a high level of customer service
Manages commercial relations with clients in order to ensure the highest level of satisfaction.

 
Client management & CRM

Ensures the after-sales service with the same level of efficiency and care, in order to maintain the clients satisfaction and loyalty with the aim of promoting the Brand image
Manages claims with supervisor support
Turns every touchpoint with customers into a positive situation, always promoting Brand image
Communicates to the Management the collected information regarding clients
Executes the follow up of clients’ requests

 
Product & Visual

Participates to product presentations
Deeply knows all products of his/her category and is updated on all the product categories in store
Ensures the appropriate care of the store","Profile
Experience as Client Advisor in a luxury boutique
Alignment with Loro Piana brand and products
Strong luxury touch and approach
Excellent interpersonal and relationship building skills
Strong clientelling skills",Not Available,"Munich, Germany",Permanent Job
Office Coordinator (m/f/d)Tiffany & Co.Reference: 59877,Published on 09.26.2024,https://www.lvmh.com/join-us/our-job-offers/59877,Not Available,Not Available,Not Available,"Munchen, Germany",Permanent Job
Aushilfe (m/w/x) MünchenSephoraReference: 256171,Published on 09.26.2024,https://www.lvmh.com/join-us/our-job-offers/256171,Not Available,"Profile.Für unseren Sephora Corner im Galeria Karstadt Kaufhof in München suchen wir in Teilzeit:AUSHILFE (m/w/x)  Wir suchen dich als Aushilfe mit … … einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beauty-Produkten sowie einem ausgeprägten Teamgeist.  Dich erwarten … ... eine attraktive Vergütung ... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst.… dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst.  Wir freuen uns auf dich, wenn du ... … bereits erste Erfahrungen im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist.… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast.… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen.  Deine Aufgabe wird es sein, ... … eindrucksvolle Kundenerlebnisse zu kreieren. bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst. … dein Beauty-Wissen zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Corner sauber und ordentlich hältst. Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.   Hast du Interesse?Bewirb Dich jetzt als „ Aushilfe München“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de .",Not Available,"München, Germany",Temporary Job
Assistant Corner Manager (m/w/x) MünchenSephoraReference: 236573,Published on 09.26.2024,https://www.lvmh.com/join-us/our-job-offers/236573,Not Available,"ProfileFür unseren Corner im Galeria Karstadt Kaufhof in MÜNCHEN suchen wir in Vollzeit: Assistant Corner Manager (m/w/x)   Wir suchen dich als Assistant Corner ManagerIn mit …… Fokus aus unsere People & Kunden, Leidenschaft für Retail und Beauty (Make Up, Skin Care, Hair Care & Fragrance) sowie einem Händchen im Umgang mit unseren Brands und dem stetig wachsenden Sortiment. Dich erwarten … ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Du unterstützt das Team dabei, bedeutungsvolle In-Corner-Erlebnisse zu bieten, die eine nachhaltige Markentreue aufbauen. … das Tagesgeschäft im Corner assistierend anzuleiten. Du organisierst, gemeinsam mit dem/der Corner ManagerIn, den Corner und hast einen Blick für Zahlen, Ordnung und Sauberkeit. … unseren Omni-Channel-Ansatz voranzutreiben. Du bist Experte oder Expertin für die Verknüpfung von stationärem und digitalem Handel. … unsere Unternehmenskultur zu leben. Pflege eine positive Kultur, in der jede/r geschätzt wird und durch Feedback und Karriereentwicklung Erfolg befähigt wird. Du agierst als motivierendes Vorbild für dein Team.   Wir freuen uns auf dich, wenn du ...  … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… mindestens ein Jahr Erfahrung als Assistant Manager hast.… ausgeprägte organisatorische, analytische und betriebswirtschaftliche Fähigkeiten sowie eine Leidenschaft für tolle Beauty-Produkte hast.… eine starke soziale Intelligenz und Kommunikationsfähigkeit hast und kurze Gespräche auch auf Englisch führen kannst.   Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.  Hast du Interesse?Bewirb Dich jetzt als „Assistant Corner ManagerIn München“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de  oder erreiche uns unter 01520 8666663",Not Available,"München, Germany",Unbefristeter Arbeitsvertrag
