Job Title,Location,Contract Type,Minimum Experience,Link,Job Responsibilities,Profile,Additional Information
Facility Management Coordinator (m/w/d)RimowaReference: RIM01206,Published on 09.25.2024,"Cologne, Germany",Unbefristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/RIM01206,"Job responsibilities
Unterstützung bei administrativen Aufgaben im Bereich Facility- und Bau Management-
Organisation von kleinen Renovierungsarbeiten
Begleitung bei Umbau- und Sanierungsmaßnahmen
Organisation und Unterstützung von internen Umzügen im Bürobereich
Bestandsprüfung und Bestellung von Büromöbelausstattung
Vor- und Nachbereitung von Räumlichkeiten
Dokumentationspflege aller Gebäudebestandsunterlagen
Erstellung von 3D Zeichnungen zur Unterstützung von Präsentationen
Erstellung von Bestellanforderungen
Betreuung des internen Ticketing-Systems, sowie die Verteilung der dadurch entstandenen Aufgaben an unsere Hausmeister
Unterstützung bei jeglichen Aufgaben und Projekte unseres Facility Managers","Profile
Abgeschlossenes Studium im Bereich Facility Management bzw. eines vergleichbaren Studiengangs oder eine abgeschlossene Ausbildung
Erste Erfahrungen im technischen und infrastrukturellen Gebäudemanagement
Unternehmerisches Denken und Kostenbewusstsein sowie eine strukturierte und teamorientierte Arbeitsweise
Ein souveränes Auftreten gegenüber Dienstleistern und Subunternehmern
Sicherer Umgang mit MS-Office, AutoCAD und Enscape 3D
Gute Deutsch- und Englischkenntnisse","Additional informationWAS WIR DIR BIETEN:

30 Tage bezahlter Urlaub pro Jahr
Flexible Arbeitszeiten und bis zu zwei Tage Homeoffice pro Woche
RIMOWA Essential Cabin Koffer als Geschenk nach der Probezeit
Corporate Benefits und 30% Rabatt auf das RIMOWA-Sortiment
Betriebliche Altersvorsorge mit hohem Arbeitgeberanteil oder Vermögenswirksame Leistungen
Großartige Kantine mit frisch gekochtem und preiswertem Mittagessen
Kostenlose Mitarbeiterparkplätze, Deutschlandticket & Jobrad (bezuschusst)
Internationales Umfeld und Entwicklungsmöglichkeiten innerhalb von LVMH

WERDE EIN TEIL VON RIMOWA:
Bitte sende uns Deine vollständigen Bewerbungsunterlagen mit Angabe des frühestmöglichen Eintrittstermins und Deiner Gehaltsvorstellung.
Wir freuen uns auf Deine Bewerbung!
Finde uns auf Instagram und Twitter @RIMOWA oder besuche uns auf unserer RIMOWA Karriereseite:
https://career.rimowa.com/EN/?searchCriteria[0][key]=LOV13&searchCriteria[0][values][]=8052
Die Förderung unserer integrativen und vielfältigen Kultur ist ein wesentlicher Bestandteil der DNA von RIMOWA. Wir wissen, dass unser Unternehmen nur dann florieren kann, wenn wir in allen Ländern, in denen wir tätig sind, vielfältige Talente mit unterschiedlichen Hintergründen, Fähigkeiten und Fertigkeiten haben, die unseren breiten Kundenstamm widerspiegeln. Wir betrachten Vielfalt als einen der wichtigsten Faktoren für das Wachstum unseres Unternehmens."
Client Advisor (m/f/d) - München RimowaReference: RIM01052,Published on 09.25.2024,"Munich, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/RIM01052,"Job responsibilitiesOne crew, one DNA, one purpose - welcome to RIMOWA, the first German Maison of the LVMH. For more than 120 years, the German Maison has been creating thoughtful mobility tools for discerning travellers around the globe. As the first German Maison in the LVMH Group, RIMOWA is dedicated to developing unique products that perfectly balance luxury and functionality whilst highlighting the brand’s century-old heritage, craftsmanship and its commitment to innovation. 
 
At RIMOWA, we believe that great ambitions demand resilient companions. Our tools are created with longevity in mind, because the most meaningful journeys last a lifetime. Join us to begin yours.","ProfileYour mission 

Outgoing, customer-focused, and an intuitive sense for Luxury: as the newest RIMOWA member, you'll strengthen our customer relationships and continue to build them through first-class consultations.
With individual CRM goals, extensive product and repair training, you shine in all customer interactions - from consultation to sales to small repairs on site.
The connection to our customers doesn't end when they leave the store - as an after-sales professional, you'll continue to be a professional point of contact for all after sales topics.
A travel companion for life - our iconic products are manufactured to the highest quality standards, a demand we also place on our repairs. You will be responsible for first-class processing, from acceptance through communication with the responsible technical team to return to our customers.

 
Your experience and skills 

We are looking forward to your experience in the luxury sector, but also welcome you as a new starter in our team.
For advising our international customers, you speak fluent German and English, ideally you have additional language skills.
the customer experience is important to you - you are passionate about consulting.

 
Our offer 

Competitive and attractive compensation with additional profit-sharing system
30 paid vacation days per year
Subsidized JobTicket (“DeutschlandTicket”)
Staff discount on our range of RIMOWA products as well as regular LVMH Family & Friend offers
Your own RIMOWA Essential Ambassador suitcase (after 6 months on a permanent contract)
Corporate benefits (e.g., for sports, lifestyle, fashion, etc.)
Company pension plan with high employer contribution
Employer-financed pension commitment in the event of death or disability
An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund
Access to job bikes

At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. Whether you want to develop yourself technically or creatively or use your leadership talent later as (Assistant) Store Manager (m/f/d) - RIMOWA is the home for all your ambitions and visions for the future.
 
Your future 
At RIMOWA and the LVMH Group, we never stand still. The diverse positions that contribute to our joint success open up a wide range of development opportunities. Whether you want to develop yourself technically or creatively or use your leadership talent later as (Assistant) Store Manager (m/f/d) - RIMOWA is the home for all your ambitions and visions for the future.
 
What are you waiting for? Apply today and soon become part of our unique crew. It's quick, easy and uncomplicated - just tell us your salary requirements and earliest possible start date.","Additional informationCelebrating our inclusive and diverse culture is core to RIMOWA’s DNA. We know that for our business to thrive, we depend on having diverse talent with a range of backgrounds, skills and capabilities in each of the countries in which we operate and to reflect our broad consumer base. We view diversity as one of the key enablers that helps our business to grow."
"Customer Service Coordinator (m/w/d)  für Französisch, Englisch und DeutschHublotReference: HUBL00793",Published on 09.25.2024,"Oberursel, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/HUBL00793,Not Available,"ProfileWAS DICH AUSZEICHNET

Du hast eine kaufmännische Ausbildung oder eine vergleichbare Qualifikation
Du verfügst über erste Berufserfahrung in einer ähnlichen Verwaltungs- oder Kundenserviceposition
Du kannst schriftlich und mündlich auf Französisch, Englisch und Deutsch kommunizieren
Du zeichnest dich durch hervorragende zwischenmenschliche Fähigkeiten und Kommunikationsgeschick aus
Du bist in der Lage, unter Druck und bei hohem Arbeitsaufkommen präzise zu arbeiten
Du besitzt Kenntnisse im Umgang mit verschiedenen Computersystemen (z.B. mit Microsoft Office Programmen) und kannst diese effektiv nutzen

 
WAS WIR BIETEN

Eine abwechslungsreiche Aufgabe im Servicebereich unter modernen Arbeitsbedingungen
Eine intensive Einarbeitung, inklusive aller technischer Details rund um die Uhrmacherkunst
Eine offene und familiäre Arbeitsatmosphäre mit Duz-Kultur und flachen Hierarchien
Ein herzliches und motiviertes Team, das für seine Marke brennt
Individuelle Fortbildungs- sowie Weiterentwicklungsangebote
Mitarbeiter-Benefits, z. B. Mitarbeiterrabatte, Events und betriebliche Altersvorsorge

 
KONTAKT
Fühlen Sie sich angesprochen? Dann freuen wir uns auf Deine aussagekräftige Bewerbung unter Angabe Deines frühestmöglichen Eintrittstermins sowie Deinen Gehaltsvorstellungen.
Personalabteilung:
Naida Fehric
HR Business Partner
LVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, 61440 Oberursel",Not Available
Key Account Manager (m/w/d)GuerlainReference: GUER04215,Published on 09.24.2024,"Dusseldorf, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/GUER04215,"Job responsibilitiesWas dich erwartet

Beziehungsmanagement: Aufbau und Pflege von Beziehungen zu wichtigen Einzelhändlern, um optimale Produktplatzierungen, Sichtbarkeit und Promotions zu sichern. Du bist der/die HauptansprechpartnerIn für gegenseitiges Wachstum und Rentabilität.
Verhandlungen & Geschäftsentwicklung: Du führst jährliche Verhandlungen zu Konditionen, Regalflächen und Werbeaktionen. Identifizierung neuer Geschäftsmöglichkeiten mit bestehenden und potenziellen Partnern.
Vertriebsplanung & Zielerreichung: Entwicklung und Implementierung von Verkaufsplänen, die mit Guerlains Zielen übereinstimmen. Überwachung von kontinuierlichen KPIs (Sell-out, Sell-in, Rentabilität) und Maßnahmenableitung.
POS-Umsetzung & Performance: Du arbeitest mit den Außendienstteams zusammen, um die Umsetzung am POS zu optimieren und nationale Spitzenleistungen zu erzielen.
Marktanalyse: Analyse von Verkaufsdaten, Markttrends und Wettbewerbern, um Potenziale zu erkennen und Verbesserungen vorzuschlagen.","ProfileWas dich auszeichnet

Master-Abschluss in Betriebswirtschaft, Marketing oder einem verwandten Bereich
Mindestens 3 Jahre Erfahrung im Key Account Management, idealerweise in der Luxus-, Kosmetik- oder Parfümbranche
Starke Fähigkeiten in Verhandlungen, Analyse und Beziehungsmanagement
Nachweisbare Erfolge bei der Erreichung von Verkaufszielen und im Wachstum von Märkten
Unternehmerisches Denken mit Fokus auf Innovation und Problemlösung
Ausgeprägte IT-Kenntnisse (Excel, PowerPoint, Word, Lotus Notes) sowie Kenntnisse von lokalen IT-Vertriebssystemen
Fundiertes Verständnis des deutschen Einzelhandelsmarktes, mit Erfahrung im Offline- und Online-Vertrieb
Verhandlungssichere Deutsch- und Englischkenntnisse, Französischkenntnisse von Vorteil
Leidenschaft für Luxusmarken und ein ausgeprägtes Verständnis für Luxus und das Beauty-Produktportfolio
Aufgeschlossene, ergebnis- und serviceorientierte Persönlichkeit
Teamplayer mit Proaktivität und Innovationskraft",Not Available
Client Development Manager (m/f/d) Dusseldorf Königsallee Christian Dior CoutureReference: CDC11244,Published on 09.24.2024,"Dusseldorf, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/CDC11244,"Job responsibilities
Coordinating all in-store animations with the Europe marketing team and proposing new ideas of animations according to local needs of your boutique
Monitoring the results of the actions and share weekly reports on CRM KPIs with the rest of the team
Insuring the usage of the data base to optimize boutique business and the quality of the data base (accurate contact information, etc).
Making sure that the team is well aware of the client development strategy and boutique clienteling year objective
Accompanying the team in organizing their clienteling work on a day-to-day basis
Coaching, training and supporting the team in monitoring their clienteling performances and detecting clienteling opportunities
Being the key contact point for the Boutique Manager and sharing regular feedback and performance results and maintaining regular contact with the regional marketing manager","Profile
5+ years of retail experience required, preferably with at least 2 years of management, in a luxury product setting or hospitality 
Ability to identify and meet the needs of customers to meet and exceed their expectations
Strong interpersonal, communication, organizational and management skills in a fast-paced environment
Sense of initiative and commercial creativity with fashion sense and Good knowledge of the luxury industry
Fluent in German and English, another language on top is a plus","Additional informationThe opportunity to join the LVMH Group (Louis Vuitton Moët Hennessy), the world leader in high-quality and luxury products. We are working in an international environment with passionate people and amazing development opportunities – as we follow the lifelong learning approach.
Working at Dior is not only about entering the world of exclusive luxury, it also offers lovely benefits.

Holiday entitlement of 6 weeks per year
Lunch benefit of 100€net per month
Public transportation support of 100€net per month
Additional day off on birthday
Access to Corporate Benefits
Special Employee conditions after successful completion of probation period
Pension Scheme exclusive for DIOR
Referral Program Bonus “Talents are knowing good Talents”
Family Atmosphere & Flat Hierarchies
Opportunities for further training and development
Career opportunities within the LVMH Group

 
We are already looking forward receiving your application!"
Kundenberater (m/w/d) DüsseldorfLouis VuittonReference: LVM25759,Published on 09.23.2024,"Dusseldorf, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/LVM25759,"Job responsibilitiesIn unserem Store in Düsseldorf besetzen wir zum nächstmöglichen Zeitpunkt folgende Position
KUNDENBERATER (M/W/D) 
Ihre Aufgaben

Beratung und Betreuung unserer anspruchsvollen nationalen und internationalen Kunden
Verkauf des gesamten Sortiments von Louis Vuitton und Stilberatung
Aufbau und Pflege von Kundenbeziehungen
Mitwirkung bei In-Store-Events (Kollektionswechsel, Private Appointments, Product Launches) 
Kassen- und Inventurtätigkeiten mit Hilfe des Warenwirtschaftssystems","ProfileIhre Qualifikationen

Erfolgreich abgeschlossene Berufsausbildung
Erste Erfahrungen im Einzelhandel
Positive Ausstrahlung und Begeisterungsfähigkeit
Ausgeprägte Kundenorientierung sowie Freude am Verkauf
Spaß am Arbeiten im Team
Deutsch- und Englischkenntnisse sind Voraussetzung
Weitere Sprachen (Chinesisch, Russisch, Arabisch, Spanisch) sind von Vorteil","Additional informationWir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben sowie attraktive Sozialleistungen. Zudem erhalten Sie eine umfangreiche Einarbeitung. Jährliche Mitarbeitergespräche geben Rückmeldung und zeigen Ihnen persönliche und berufliche Perspektiven innerhalb der LVMH-Gruppe auf. Fort- und Weiterbildungsangebote runden unser attraktives Angebot ab.
Wenn Sie sich in dieser Beschreibung erkennen, freuen wir uns auf Ihre Onlinebewerbung unter jobs.louisvuitton.com. Bitte beachten Sie, dass wir ausschließlich Onlinebewerbungen berücksichtigen können und postalisch zugesandte Bewerbungsunterlagen von uns nicht zurückgesandt werden."
"Client Advisor, Breuninger MunichLoeweReference: LOEW01483",Published on 09.23.2024,"Munich, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/LOEW01483,"Job responsibilitiesAbout LOEWE
Created in Spain in 1846, LOEWE approaches 175 years as one of the world’s major luxury houses. Since 2013, under LOEWE’s creative director, Jonathan Anderson, the brand has started a new chapter, presenting itself to the world as a house focused on craft and culture; evidenced through an intellectual yet playful approach to fashion, bold and vibrant Spanish lifestyle, and unmatched expertise with leather.
LOEWE has a rich legacy of craftsmanship dating back to its beginnings as a collective workshop and has long valued artisanal techniques in its approach to design and manufacture. These core values are reflected in the brand’s belief in the importance of craft in today’s culture, its modern interpretations of historical artistic achievements and its commitment to supporting contemporary art, craft, and culture around the world.","ProfileJOB DESCRIPTION 
Role Mission 
As a Client Advisor, you will ensure that our client service expectations are exceeded in a personable, playful, and engaging way, enabling you to deliver your individual and team goals.
 
Responsibilities 

Achieve individual and store objectives
Connect with clients in an engaging emotional way to provide an exceptional and memorable client experience
Engage with all clients and develop long lasting relationships
Maintain relations with clients through regular communication and connection via email, phone, messages, or personalized notes
Master and transmit our brand history and heritage
Highlight our product categories through your product knowledge and storytelling
Develop and grow your client book, updating client information on the relevant company tools
Perform as a team player, participating and collaborating in all activities contributing to the overall objectives of the store
Actively participate in visual merchandising in accordance with LOEWE’s visual standards
Maintain products in an efficient, clean, secure, and organized manner; front and back of house
Support with inventory management and ad hoc back of house tasks
Follow the company’s policies and procedures including LOEWE’s standards in terms of grooming and behavior

 
 
Key Requirements 

Proven experience in achieving individual goals and contributing to team results
Experience within a similar customer centric role
A deep interest in Fashion, Art, and Culture
Be naturally inclusive and open minded
Confident, service orientated, adaptable and empathetic in style and approach
Effective communication skills with the sensitivities to build and maintain a client portfolio
Results driven with a commercial mindset without compromising on the Team Player attitude",Not Available
CLIENT ADVISOR & SALES SUPPORT (F/M/D) - FRANKFURTBulgariReference: BULG08626,Published on 09.23.2024,"Frankfurt, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/BULG08626,Not Available,Not Available,Not Available
Trainee (m/w/d) Controlling im Bereich HRLVMH Perfumes & CosmeticsReference: SSCPC01900,Published on 09.20.2024,"Dusseldorf, Germany",Temporary Job,https://www.lvmh.com/join-us/our-job-offers/SSCPC01900,"Job responsibilitiesLVMH Moët Hennessy Louis Vuitton ist der größte Luxusmarkenkonzern der Welt mit einem Portfolio von 70+ Prestige Marken. Dank unserer Markenentwicklungsstrategie und der Expansion unseres internationalen Retail-Netzwerkes wächst LVMH seit seiner Gründung im Jahr 1987 stetig und dynamisch. Heute leisten 150.000+ Mitarbeiter weltweit ihren Beitrag zum Erfolg unserer Gruppe. Die Produkte und die kulturellen Werte von LVMH vereinen Tradition mit Innovation und stehen für höchsten Qualitätsanspruch.
Die LVMH Parfums & Kosmetik Deutschland GmbH ist die deutsche Vertriebsgesellschaft für die Parfum- und Kosmetikmarken Dior, Guerlain, Benefit, Acqua di Parma, Givenchy und Kenzo.
 
Werde Du Teil dieser Geschichte als …
Trainee (m/w/d) Controlling im Bereich HR
zum 01.10. oder früher für 12 Monate in Düsseldorf
 
Was wir bieten:

Arbeiten beim Weltmarktführer im Luxus, an einem lokalen Standort mit offener Atmosphäre, flachen Hierarchien und Du-Kultur
Marken, die ihre Tradition immer neu erfinden, um in Duft, Make-up und Pflege Trends zu setzen
Herzliche Teams mit einer „Can-Do“-Einstellung, die Ideen mit Leidenschaft voranbringen
Ein Büro im Norden Düsseldorfs mit direkter Rheinlage
Einarbeitung, Integration und Verantwortung sowie faire Vergütung
Networkinglunches und -events mit den Young Talents aller LVMH Beauty Marken im Haus
Attraktive Einstiegsmöglichkeiten bei LVMH Beauty und in 75+ einzigartigen LVMH Maisons
Kontingent an vergünstigten LVMH Beauty-Produkten
Weitere Mitarbeiterrabatte über Family & Friends Angebote und ""Corporate Benefits""","ProfileWas dich erwartet:

Möglichkeit zur Übernahme von eigenen Projekten und Initiativen im HR Controlling wie z. B. die Entwicklung eines KPI Dashboards
Direkte Unterstützung des HR Controllings, z. B. bei monatlichen Reportings, Erstellen von Organigrammen und Aufbereitung von Daten
Mitarbeit bei der Ableitung und Umsetzung von Handlungsempfehlungen auf Basis der regelmäßig durchgeführten Analysen
Unterstützung bei der Standardisierung und Optimierung von übergreifenden personalrelevanten Prozessen in Zusammenarbeit mit den verschiedenen HR Funktionen (Lohnbuchhaltung, HR Business Partner und Co.)
Begleitung des jährlichen Gehaltserhöhungs- und Bonusprozesses

 
Was dich auszeichnet:

Du hast dein Grundstudium oder Bachelor im Bereich BWL oder einer vergleichbaren Studienrichtung (vorzugsweise mit Schwerpunkt Personal) erfolgreich absolviert
Erste praktische Erfahrungen im Controlling oder HR in Form von Praktika sind ein Plus
Deine Stärken liegen im Umgang mit Excel sowie weiteren MS Office Programmen (PowerPoint etc.) – Erfahrungen mit Power Query und Power BI sind wünschenswert
Verhandlungssichere Deutsch- und sehr gute Englischkenntnisse
Starkes analytisches Denkvermögen, Sorgfalt, eine eigenständige Arbeitsweise sowie ein professioneller Umgang mit sensiblen Daten

 
Just give it a try and join our team!
Dann freuen wir uns auf Deine Bewerbung, inkl. Anschreiben, Lebenslauf und Zeugnisse über unser Onlineportal (Ansprechpartnerin: Christina Pretzer).",Not Available
Executive AssistantMoët HennessyReference: MHE02144,Published on 09.20.2024,"Munich, Germany",Permanent Job,https://www.lvmh.com/join-us/our-job-offers/MHE02144,"Job responsibilitiesEXECUTIVE ASSISTANT
 

Calendar and Priority Management: Proactively manage the CEO's busy schedule, including prioritizing key meetings, strategic scheduling and travel
Strategic Communication: Managing internal and external communication at executive level - acting as a gatekeeper and mediating accurately and efficiently between management and key stakeholders
Project and process management: Managing and supporting projects that are critical to the development of the business - from planning to execution.
Meetings and decision-making processes: Preparation, coordination and follow-up of board meetings and strategic meetings, including the preparation of decision papers, presentations and taking minutes.
Core point of contact for the team: Act as a trusted partner to the entire leadership team and work closely with department heads to ensure corporate initiatives are implemented smoothly.
Travel and Event Management: Independently plan and coordinate national and international travel and key executive events
Discretion and integrity: You keep track of confidential information and are a reliable partner when dealing with highly sensitive issues.

 
COMPANY AMBASSADOR:

To act as a gatekeeper to the MD, key contact to all MH entities and other LVMH divisions
To build, manage and rely on extensive network on internal/external contacts
To identify opportunities for the business to engage customers/contacts
To be sensitive to the luxury industry, the product, the people
To generate innovative and creative ideas for team building and external engagement

 
EVENTS MANAGEMENT

To arrange meetings and functions for the Managing Director
To organise Management Team Meetings and away days and support the Management Meetings – as required by the Managing Director (assistance with presentation creation, formal note taking, production of minutes)
To have active involvement in understanding business direction to translate the Managing Director key messages
To track the General Management budget","ProfileProfessional experience & know how:
 
Top-level experience: 10+ years of professional experience as an Executive Assistant, ideally in a dynamic environment at C-level or in a similar position with a high level of responsibility.
Strategic thinking: Deep understanding of business processes, strategic project management and an affinity for the big picture. You think ahead and act proactively.
Organizational talent: You maintain an overview even in complex tasks and shine with your ability to manage priorities effectively.
Strong communication skills: Excellent interpersonal skills to communicate efficiently and assertively with managers, colleagues and external partners and manage these relationships
Digital Native: Routine in using common office and collaboration tools (e.g. Microsoft 365, Teams, Zoom). You always find the best digital solutions for smooth work processes.
Flexibility and solution orientation: You are stress-resistant, adaptable and know how to operate successfully and independently in a fast-paced environment.
Discretion and confidentiality: Integrity and discretion and trust are a given, especially when dealing with sensitive company information.
Strong Team player: High social competence for the entire team from different areas.
 
 
Languages: Fluent in German (native speaker) & English / French is a strong advantage","Additional informationBenefits

30+ days vacation


Employee discounts for own products and corporate benefits


Attractive Company car policy


Wellpass


E-Bike Leasing


Comprehensive training and an excellent working atmosphere and modern working equipment


Opportunities for further training and (international) development within LVMH

We are looking forward for your application with your earliest possible start date and your salary expectations.In order to ensure the most objective assessment of skills and qualifications possible, we ask all applicants to submit their application documents without a photo. We are committed to equality and making the best use of the talents and diversity of all our employees. We provide equal opportunity for all individuals regardless of age, race, ethnicity, nationality, gender, including gender identity and expression, sexual orientation, disability, marital or civil partnership status, maternity, paternity and adoption leave as well as any other class protected by law."
Team Manager (m/w/d) Louis VuittonReference: LVM25752,Published on 09.20.2024,"Hamburg, Germany",Befristeter Arbeitsvertrag,https://www.lvmh.com/join-us/our-job-offers/LVM25752,"Job responsibilitiesIhre Aufgaben
 
 
• Proaktive Unterstützung des Store Managers
 
 
• Kennzahlenorientierte Steuerung des Verantwortungsbereiches sowie kontinuierliche Optimierung unserer KPIs
 
 
• Botschafter für einen Produktbereich
 
 
• Verantworten des Produktkategorie-Geschäfts, Vermittlung von Enthusiasmus und Leidenschaft sowie Definition und Umsetzung von Aktionsplänen
 
 
• Rekrutierung, Einarbeitung und Weiterentwicklung der Mitarbeiter des Teams sowie Definition von Entwicklungspotential in Abstimmung mit dem Store Manager und Human Resources
 
 
• Intensiver Aufbau und Pflege von Kundenbeziehungen durch regelmäßige Präsenz auf dem Sales Floor sowie Repräsentant für Professionalität und höchste Kundenorientierung
 
 
• Unterstützung bei der Organisation von Kundenevents
 
 
• Mitarbeiterführung, -planung und -entwicklung anhand diverser Personalentwicklungsinstrumente
 
 
• Regelmäßiges Reporting und Bereitstellung von kaufmännischen Informationen gegenüber dem Store Manager und/oder dem Head Office
 
 
• Vermittlung von Produktkenntnissen sowie Übermittlung der Werte von Louis Vuitton auch in Zusammenarbeit mit dem Field Coach Trainer","ProfileIhre Qualifikationen
 
 
• Erfolgreich abgeschlossenes Studium oder vergleichbarer Ausbildungshintergrund
 
 
• Mehrjährige Berufspraxis, idealerweise mit erster Führungserfahrung
 
 
• Große Affinität zum Verkauf von Luxusprodukten sowie hohe Serviceorientierung
 
 
• Ausgeprägtes unternehmerisches und strategisches Denkvermögen, verbunden mit einem pragmatischen Handlungsansatz
 
 
• Exzellente analytische Fähigkeiten sowie leistungs- und ergebnisorientierte Arbeitsweise
 
 
• Spaß am Arbeiten im Team und gemeinsamen Erstreben neuer Ziele
 
 
• Sehr gute Englischkenntnisse in Wort und Schrift, weitere Fremdsprachen von Vorteil","Additional informationWir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben sowie attraktive Sozialleistungen. Zudem erhalten Sie eine umfangreiche Einarbeitung. Jährliche Mitarbeitergespräche geben Rückmeldung und zeigen Ihnen persönliche und berufliche Perspektiven innerhalb der LVMH-Gruppe auf. Fort- und Weiterbildungsangebote runden unser attraktives Angebot ab.
 
Wenn Sie sich in dieser Beschreibung erkennen, freuen wir uns auf Ihre Onlinebewerbung unter jobs.louisvuitton.com. Bitte beachten Sie, dass wir ausschließlich Onlinebewerbungen berücksichtigen können und postalisch zugesandte Bewerbungsunterlagen von uns nicht zurückgesandt werden."
MARKETING INTERN (M/F/D) EMEA - NOV 2024RimowaReference: RIM01199,Published on 09.18.2024,"Cologne, Germany",Internship,https://www.lvmh.com/join-us/our-job-offers/RIM01199,"Job responsibilitiesOne crew, one DNA, one purpose – welcome to RIMOWA, the first German Maison of the LVMH Group. For more than 125 years, we have been creating iconic luggage and accessories that meet the highest expectations. Our brand unites luxury with functionality, creating the perfect blend of tradition and innovation. We believe that great achievements can only be realized with dependable companions. That's why we strive for excellence in workmanship, durability, and quality – both in our products and in our long-term relationships with customers and employees. We redefine what it means to travel with every product we make. We embrace diversity and inclusion as integral parts of our culture and value the range of experiences, perspectives, and skills of our diverse team as a cornerstone of our long-term success. Every one of our boutiques is staffed by a dynamic and friendly crew that brings RIMOWA to life for our customers.
Join us in our headquarter in Cologne as
 
MARKETING INTERN (M/F/D) EMEA 
START: NOVEMBER 2024
 
RIMOWA is looking for a Marketing Intern based in Cologne, Germany. Reporting to the Head of Marketing EMEA and working in close collaboration with our HQ and local retail teams, you will support in the planning and roll-out of our 360° marketing projects in Europe.
 
YOUR MISSIONS 

Support with local media planning and briefing our local media agencies on campaigns that focus on increasing RIMOWA’s brand awareness.
Assist in briefing our creative agencies on the localization of campaign assets, such as digital display, OOH, and print.
Help to gather and evaluate campaign results and preparing post campaign reports.
Event Management: Support in planning and executing various retail marketing activities as well as client and press events.
Serve as a time guard and project manager to ensure a timely delivery of assets and that deadlines are met.","ProfileYOUR PROFILE 

Excellent written and verbal communication skills in English and German. Any additional language, especially French or Arabic is a plus.
You are currently in your master’s studies (Marketing / Communication preferred) and you have already gained first working experience. (i. e. previous internship)
Team player who enjoys working in an international environment.
Self-starter, action-driven, curious, and open minded by nature.
Ability to work on multiple projects at the same time.
Microsoft Office (PowerPoint, Excel, Outlook)
Passionate about Art / Design / Fashion / Travel.

 
OUR OFFER

An international and exciting environment within the LVHM Group
Exciting projects and individual career development opportunities
Subsidized Job Ticket (""Deutschlandticket"") for free regional travel throughout Germany
Corporate benefits (e.g. for sports, lifestyle, fashion, etc.)
Personal support for your everyday family life via Voiio family services
Financial and psychological support through the LVMH Heart Fund
Central location, easily accessible by private and public transportation, with on-site parking
Great company canteen
Regular employee events



 
YOUR FUTURE
At RIMOWA and the LVMH Group, we never stand still. Each position contributes to our joint success and offers a wide range of development opportunities. RIMOWA is home to all of your ambitions, visions and future plans.","Additional informationWhat are you waiting for? Apply today to join our unique crew. It's quick, convenient, and simple – please let us know your salary requirements and earliest start date in your application.
Find us on Instagram and Twitter to get a first impression: @RIMOWA or at www.rimowa.com."
